Date,City,TAVG,TMAX,TMIN,Humidity (%),Precip (mm),Wind (km/h),Feels Like,Year,Month,Season
2019-01-01,Mumbai,27.7,30.9,23.7,83.3,1.9,10.1,25.9,2019,1,3
2019-01-01,Delhi,20.2,33.9,5.7,46.3,1.7,9.0,19.3,2019,1,3
2019-01-01,Bangalore,21.7,26.7,16.5,55.7,0.6,17.6,20.9,2019,1,3
2019-01-01,Chennai,28.9,32.7,23.7,66.5,1.3,18.7,27.2,2019,1,3
2019-01-01,Kolkata,27.9,35.4,20.0,50.5,1.8,14.5,29.5,2019,1,3
2019-01-02,Mumbai,28.4,30.8,24.1,78.9,0.9,12.2,28.4,2019,1,3
2019-01-02,Delhi,21.7,35.5,7.6,85.8,0.6,5.3,22.3,2019,1,3
2019-01-02,Bangalore,22.7,26.1,17.7,59.4,1.8,11.7,23.2,2019,1,3
2019-01-02,Chennai,29.1,33.6,22.7,85.2,1.3,6.1,29.4,2019,1,3
2019-01-02,Kolkata,27.1,34.7,19.0,44.5,1.4,14.6,26.5,2019,1,3
2019-01-03,Mumbai,29.0,31.8,25.3,66.1,0.4,17.4,30.3,2019,1,3
2019-01-03,Delhi,20.1,34.7,5.4,64.0,1.6,10.8,18.3,2019,1,3
2019-01-03,Bangalore,23.9,28.6,19.8,73.0,1.9,14.2,22.7,2019,1,3
2019-01-03,Chennai,28.1,31.2,23.9,75.2,0.1,17.2,27.5,2019,1,3
2019-01-03,Kolkata,26.4,34.6,18.7,51.3,0.3,17.3,27.3,2019,1,3
2019-01-04,Mumbai,28.2,31.1,23.5,79.4,1.4,17.5,26.4,2019,1,3
2019-01-04,Delhi,22.1,36.4,6.6,50.1,1.2,16.9,23.4,2019,1,3
2019-01-04,Bangalore,23.0,28.8,19.1,70.7,0.5,12.3,21.1,2019,1,3
2019-01-04,Chennai,28.6,31.6,25.7,59.3,0.5,18.3,30.4,2019,1,3
2019-01-04,Kolkata,27.2,35.7,20.5,57.4,0.6,11.9,27.7,2019,1,3
2019-01-05,Mumbai,29.9,33.4,26.9,51.2,1.3,18.3,31.2,2019,1,3
2019-01-05,Delhi,21.4,35.0,5.9,67.9,0.2,16.3,20.8,2019,1,3
2019-01-05,Bangalore,22.2,26.6,16.0,65.2,0.2,12.5,22.7,2019,1,3
2019-01-05,Chennai,29.2,32.9,24.5,68.4,0.1,11.4,29.5,2019,1,3
2019-01-05,Kolkata,27.8,33.0,21.6,70.5,1.3,19.6,27.4,2019,1,3
2019-01-06,Mumbai,28.2,31.4,26.9,70.1,0.5,9.8,29.0,2019,1,3
2019-01-06,Delhi,19.7,33.4,7.3,47.7,1.1,17.7,21.4,2019,1,3
2019-01-06,Bangalore,23.5,29.4,17.6,71.2,1.8,10.1,25.3,2019,1,3
2019-01-06,Chennai,29.3,34.2,22.8,45.9,1.8,19.2,27.3,2019,1,3
2019-01-06,Kolkata,27.0,35.9,19.1,61.2,0.8,5.6,28.2,2019,1,3
2019-01-07,Mumbai,27.7,33.3,23.3,61.8,1.3,15.6,27.2,2019,1,3
2019-01-07,Delhi,22.3,36.3,8.1,56.3,1.0,12.1,21.4,2019,1,3
2019-01-07,Bangalore,23.8,29.9,17.8,51.7,0.7,12.3,22.0,2019,1,3
2019-01-07,Chennai,30.6,34.4,25.4,70.4,1.5,16.4,29.7,2019,1,3
2019-01-07,Kolkata,28.0,34.4,20.9,50.1,1.9,15.0,29.8,2019,1,3
2019-01-08,Mumbai,29.4,31.4,26.2,81.6,0.8,6.8,29.7,2019,1,3
2019-01-08,Delhi,21.2,34.8,6.8,76.8,1.8,18.2,22.9,2019,1,3
2019-01-08,Bangalore,24.5,28.8,19.0,85.2,0.1,14.9,24.1,2019,1,3
2019-01-08,Chennai,30.8,34.7,25.7,89.9,0.3,19.9,30.2,2019,1,3
2019-01-08,Kolkata,28.8,34.9,20.7,42.3,0.1,9.9,30.2,2019,1,3
2019-01-09,Mumbai,27.4,32.1,23.7,86.8,0.5,11.6,27.7,2019,1,3
2019-01-09,Delhi,19.4,34.3,5.5,71.6,1.3,10.7,19.3,2019,1,3
2019-01-09,Bangalore,23.0,26.4,18.5,55.8,0.1,19.2,21.6,2019,1,3
2019-01-09,Chennai,30.1,34.0,25.0,52.8,0.8,15.0,32.1,2019,1,3
2019-01-09,Kolkata,26.0,35.4,18.5,58.3,0.4,13.3,26.3,2019,1,3
2019-01-10,Mumbai,28.8,32.5,25.8,55.5,0.8,11.5,27.1,2019,1,3
2019-01-10,Delhi,22.0,37.0,6.5,66.8,1.1,8.2,21.5,2019,1,3
2019-01-10,Bangalore,24.0,29.3,19.3,78.9,1.2,8.7,23.8,2019,1,3
2019-01-10,Chennai,28.7,32.9,23.1,67.0,1.1,15.6,26.9,2019,1,3
2019-01-10,Kolkata,28.2,34.0,21.7,74.0,1.8,7.3,30.1,2019,1,3
2019-01-11,Mumbai,29.7,32.9,25.6,59.4,1.6,15.2,31.4,2019,1,3
2019-01-11,Delhi,20.4,33.9,5.2,43.9,0.2,12.9,21.5,2019,1,3
2019-01-11,Bangalore,23.2,29.3,18.2,85.8,1.9,13.7,24.7,2019,1,3
2019-01-11,Chennai,27.1,31.9,22.9,88.5,0.1,18.0,28.8,2019,1,3
2019-01-11,Kolkata,27.0,34.1,21.9,67.7,1.7,8.6,27.3,2019,1,3
2019-01-12,Mumbai,27.3,30.3,26.3,63.0,0.9,16.0,27.3,2019,1,3
2019-01-12,Delhi,20.3,35.5,5.1,70.3,1.4,8.2,21.3,2019,1,3
2019-01-12,Bangalore,23.1,27.1,19.9,49.8,0.8,7.6,23.5,2019,1,3
2019-01-12,Chennai,27.1,33.8,22.2,40.6,0.2,13.3,26.6,2019,1,3
2019-01-12,Kolkata,26.4,33.0,20.2,46.1,1.7,13.0,27.3,2019,1,3
2019-01-13,Mumbai,27.6,30.4,25.7,47.1,1.4,8.3,28.0,2019,1,3
2019-01-13,Delhi,20.0,35.6,5.7,42.7,0.9,7.2,20.0,2019,1,3
2019-01-13,Bangalore,24.2,29.2,18.4,45.5,0.6,5.6,23.9,2019,1,3
2019-01-13,Chennai,27.8,31.7,23.6,46.3,0.2,18.1,25.9,2019,1,3
2019-01-13,Kolkata,26.3,33.6,18.8,48.0,1.3,16.0,26.7,2019,1,3
2019-01-14,Mumbai,27.6,32.5,24.0,56.3,2.0,11.1,26.8,2019,1,3
2019-01-14,Delhi,21.2,34.9,7.2,55.5,1.6,19.7,21.1,2019,1,3
2019-01-14,Bangalore,21.0,26.8,16.1,60.2,1.5,15.4,20.0,2019,1,3
2019-01-14,Chennai,29.3,33.9,25.5,55.5,1.7,14.5,29.4,2019,1,3
2019-01-14,Kolkata,28.1,33.9,21.8,82.4,0.9,18.0,28.9,2019,1,3
